_id,图片,口径,炮口初速,类型,名称,总重,简介,研发单位,型号,最大射程,大类,炮管长度,产国,研发时间
{'$oid': '5cc9333b831b973d657f2009'},,105毫米,1490米/秒,坦克炮,L7式105毫米坦克炮,18.9千克,"
英国皇家兵工厂于20世纪50年代在原20磅坦克炮的基础上研制的口径为105毫米的坦克炮。定型后命名为L7式。L7系列坦克炮后来成为北约国家的制式坦克炮。
",英国皇家兵工厂,NULL,NULL,火炮,5347毫米,英国,20世纪50年代
{'$oid': '5cc9333b831b973d657f200a'},http://images.huanqiu.com/sarons/2014/03/0623e42b57a3781b41cabf8f844db557.jpg,115毫米,855米/秒,坦克炮,U-5TS 115毫米坦克炮,NULL,"
苏联1961年研制的口径为115毫米的坦克炮，1964年批量装备部队，到70年代末，共生产了2万多门，除装备苏联外，还出口了10多个国家。
",NULL,NULL,NULL,火炮,5840毫米,苏/俄,1961年
{'$oid': '5cc9333c831b973d657f200b'},,120毫米,1750米/秒,坦克炮,GIAT120毫米坦克炮,NULL,"
法国地面武器工业集团为“勒克莱尔”主战坦克研制的口径为120毫米的坦克炮。20世纪70年代研制，1979年生产，除装备法国外还供出口。
",法国地面武器工业集团,NULL,3500米,火炮,6240毫米,法国,20世纪70年代
{'$oid': '5cc9333c831b973d657f200c'},,90毫米,1432米/秒,坦克炮,M41式90毫米坦克炮,1076千克,"
美国沃特夫利特兵工厂于1950年为M48坦克研制的口径为90毫米的坦克炮。1953年列装，共生产1.1万多门。除装备美军外，还出口到十几个国家和地区。
",沃特夫利特兵工厂,NULL,17.8米,火炮,4908.5毫米,美国,1950年
{'$oid': '5cc9333c831b973d657f200d'},,120毫米,1650米/秒,坦克炮,Rh120120毫米滑膛火炮,1995千克,"
德国莱茵金属公司研制的口径为120毫米的坦克炮。1964年开始研制，1974年研制出第一门样炮，1978年通过设计定型，1979年批量生产并安装在“豹”2主战坦克上，到1986年6月，德国陆军共装备1800门，还出口到美国、荷兰、瑞士、日本、意大利、西班牙、以色列等国。
",德国莱茵金属公司,NULL,2000米,火炮,NULL,德国,1964年
{'$oid': '5cc9333c831b973d657f200e'},,120毫米,1370米/秒,坦克炮,L11式120毫米坦克炮,NULL,"
英国皇家兵工厂于1961年研制的口径为120毫米坦克炮，是第一门样炮。1965年装备英军。出口伊朗、约旦等国家。
",英国皇家兵工厂,穿甲弹,NULL,火炮,NULL,英国,1961年
{'$oid': '5cc9333c831b973d657f200f'},,125毫米,905米/秒,坦克炮,D-81TM 125毫米坦克炮,NULL,"
苏联20世纪60年代中期为第三代坦克研制的口径为125毫米的坦克炮，1974年生产装备部队，安装在T-72等坦克上。是现装备的口径最大的坦克炮之一。
",NULL,破甲弹,9400米,火炮,6000毫米,苏/俄,20世纪60年代中期
{'$oid': '5cc9333c831b973d657f2010'},,60毫米,NULL,坦克炮,索尔塔姆60毫米迫击炮,6.7千克,"
以色列索尔塔姆有限公司（Soltam）在芬兰泰普勒60毫米的迫击炮基础上研制的口径60毫米的便携式滑膛迫击炮。20世纪80年代末装备部队。用于步兵火力支援和突击作战。
",索尔塔姆有限公司,NULL,4000米,火炮,739毫米,以色列,NULL
{'$oid': '5cc9333d831b973d657f2011'},,85毫米,792米/秒,坦克炮,1944式85毫米坦克炮,1200千克,"
1943年苏联将1939年式85毫米高射炮改造成85毫米坦克炮，并安装在T-43坦克上。该炮仅1944年就生产了1.1万多门，曾出口几十个国家。
",NULL,NULL,NULL,火炮,4145毫米,苏/俄,1943年
{'$oid': '5cc9333d831b973d657f2012'},,100毫米,887米/秒,坦克炮,D-10 100毫米坦克炮,1948千克,"
苏联研制的口径为100毫米的坦克炮，1944年定型，是世界上装备数量最多的坦克炮之一。第二次世界大战后期，该炮由100毫米舰炮改进而成，最初安装在坦克底盘上当自行火炮使用，50年代初，安在T-54坦克上和T-55坦克上使用。
",NULL,NULL,NULL,火炮,5350毫米,苏/俄,NULL
